reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_verified
"Not meet Flagship phn specs, SAMSUNG can do better then this","Usage - 2 weeks
Like - atom dolby, bixby live translation, image search, camera, edge lighting, samsung health
Dislike - battery, bixby simply doesn't work seamlessly on voice commands, weight of the phone, no real fast charging
Superdislike - akg headphones, even those 50rs headphones sold in trains are better then the one you get out of the box from THE SAMSUNG.",Arun Kumar Saxena,3 November 2018,Verified Purchase
The Perfect Flagship Phone that you ever buy,"i am using this phone last 1 week , i feel premium build quality in every corner as much expected . .
1. camera is superb in every mode including selfie .
2. performance is too good and fare better than my past usage S DUOS , GALAXY S4 , GALAXY S5 .
3. I thought that same genetic problem will persist like hanging issue , warming issue , Battery die issue .
4. only battery is faster drainage in this phone , but fast charger is working good as expected .
5. trust me guys overall rating is 5 in this phone",RAHUL HATI,12 November 2018,Verified Purchase
Beautiful phone,"Top phone at a top value with top exchange offers. I exchanged it with nexus 6p. And I am happy it didn't disappoint me. Love this phone, what a colour!!! The battery is amazing. The camera is what Samsung is so famous for. The display is like you can't look further. What bothers me is those bloatware. Get rid of them!! Samsung are you listening me?",Prime 47,10 November 2018,Verified Purchase
The Almost perfect phone.,"If you're reading this you probably know about this being one of the most powerful phones in there market. Everything is seamless about this phone without a doubt. From having the best possible display to being water resistant, AKG powred sound grills, stunning camera with a smooth ois, expandable srorage also not forget the mighty headphone jack. However, the only department it lags in is the Battery. Gives me a 5-6 hour on screen time with mid/heavy usage. I'm keeping 5 stars as I'm sure battery can be optimised with some software fixes in the coming future. If you're looking for a high budget phone. I guess you don't need to think twice for this one!",Dushyant Vashisht,25 November 2018,Verified Purchase
1st one with my own sala6,"Wow...I bought this mobile with my own salary...this is my first Samsung product in my life. After I bought it on 29th October 2018 ,everyone said u should have bought iPhone.. but I taught of buying it from July and finally I got it on October it took time...but it never disappointed me...Very stylish and good looking...cons : battery life was less(3500 mah) drains fast this one I observed..till know..Thank you guys.",vamsi,12 November 2018,Verified Purchase
Great if the price is right,"Phone is excellent if bought in offer which reduces its price to near 38k...which is great but if bought for the full price of 61k it is absolutely no value for money as u can get a note 9 for 61k officially without any exchange and the note 9 is a far superior phone in terms of battery life low light camera and internal storage
Coming to the pros and cons
Pros
Good screen excellent colour reproduction punchy amoled
Sound quality is awesome both through headphones and dual speaker
Good stylish build quality
Compact easy to handle
Excellent camera on par with most if not all flagships
Great value for money if bought in the price range of 38k to 40k
Anything above that is not acceptable
Cons
For the price of 61k a much better phone the note 9 is available in the market which diminishes this phones value
Battery life is at best mediocre even if using power saver and hd+resolution...its ok for basic tasks like calling messaging WhatsApp etc
But push something heavy and the battery begins to drain faster
64gb for 61k especially when other competitors and Samsung itself is offering 128gb internal storage on its base variant note 9 is just unacceptable as in this day n age memory tends to get filled up pretty fast and those who use dual sim cant rely on sd card since its hybrid
Slow android updates no bixby 2.0 till now
again this phone is great if its price was around 40k but 61k is just not right especially since the competition is giving much more
Samsung should really reduce the price officially since not everyone has a phone to exchange and hence cannot avail the offers
Thank you",Ishaan f,18 November 2018,Verified Purchase
Biggest mistake buying this phone in greed of sale.,"Don't buy this phone if you don't want yourself stuck with charger ND phone permanently. Doesn't matter how much apps you have in your phone, battery will drain rapidly. Just google ""s9+ battery problem"" and save yourself from the hassles of life. And low light is pathetic in front camera,",puneet,5 November 2018,Verified Purchase
A great deal,"Bought this during sale period at an amazing exchange value and discounts. I was eying this mobile for a long time and so happy to finally have this.
I am more into music, movies and photography, so my top reasons to buy-
1. Best display quality
2. Superior build quality, specially the edge screen
3. Amazing camera, specially in low light conditions
4. Slow motion shooting mode
5. I guess this has the best speakers among all smartphones
6. Earphones provided in the box were surprisingly great",Mr Bajpai,9 November 2018,Verified Purchase
Delivery boy behaviour not good,Delivery boy said without earphones and charger he will not exchange mobile when I said tell this on camera then he gave me mobile. Additional it mentioned in exchange policy it's not mandatory to give charger or earphones,Rahul,31 October 2018,Verified Purchase
Superb and a Must Buy if on Discount,"The phone is Simply Superb . The best camera in the market (if used properly). The battery is good, lasts for a Day of heavy use. So it does the job well. Despite all the multiple Flagship phones popping at this price range, the brand equity u hold after having this is unparalleled. I also got a good buyback from Amazon for my previous phone, that helped too. And i am absolutely satisfied with the phone and the service received from amazon.",Arindam Pal,14 November 2018,Verified Purchase
Amazing phone,"Galaxy S9 plus is a terrific phone in terms of its design, display, added features, camera and the list goes on. It is definitely worth the buy and Samsung is extremely ahead of it's rivals in terms of their offerings. The AKG earphones are cherry on the cake. With Dolby Atmos sound feature, these earphones do complete justice to the amazing sound quality.",Amazon Customer,14 November 2018,Verified Purchase
True flagship,"Got this at a great price. Its the best smartphone there is right now! Was gonna buy the Op6t but now I'm glad that I went for this. Best features of this phone - display, steroid speakers, ip68 rating, refined software.
Yes battery could have been better but still satisfied.",Axxo,25 November 2018,Verified Purchase
Good switch,"After a months usage I am very much satisfied with the phone. I exchanged my 2+ years old iPhone 6.
Apple left no options with their mad price range. I had to switch back to Android. And S9 Plus didnt let me decission down.
Must compliment amazing camera 👍
Thumbs up",Prajyot Khandeparkar,12 November 2018,Verified Purchase
Brilliant phone,Using this phone after my Oneplus2 is a fresh change. The camera is good at low light. Charging is also quick. Though not as good as Oneplus's dash charge. Over all it's a great phone. The offer sweetens the package.,Ksk,21 November 2018,Verified Purchase
Best ever product from Samsung,"Thanks to Amazon for fast delivery, I got my product in one day.
When come to mobile review, Very good flagship mobile from Samsung, having awesome and flawless performance. I like each & every feature, display, sound, design, performance.
But when come to cost..😋",D Jeevan Kumar,1 November 2018,Verified Purchase
Absolute beast!,"Amazing phone, great exchange offer provided by amazon. Switched from iPhone 7 to an android device but it never felt like I made a move, the phone is super duper in performance, and that is what matters to me the most! Hats off Samsung!",Srinjan saha,24 November 2018,Verified Purchase
Battery Issues & Camera,"I got new Samsung S9 plus mobile delivered last Saturday, i have found couple of issues like Camera not able to capture low light images and Battery is decreasing a lot with 8 hrs for full charge, please let me know is there any problem with the product i received ?",Ravikanth,19 November 2018,Verified Purchase
Best Disgned Phone,"Best Display u can get on a phone, low light camera is good and portrait mode doesn't work well , battery life is good u can easily get 5 hrs of SOT",Naveen,31 October 2018,Verified Purchase
Defective product deliver by the Saleer now amazon denied to refund,Phone is good but battery life is very weak,saurav kumar,31 October 2018,Verified Purchase
Classy phone,Display is awsm... stands out of other phones of this range.,AmznShopper,25 November 2018,Verified Purchase
Nice phone,Phone is very good and rich in features it has almost everything only battery backup should be little more in this kind of smartphone to enjoy all the features rest all is good in phone.,Vishal Mathur,30 October 2018,Verified Purchase
Awesome mobile...,Awesome... looking good... everything is having in this mobile...I'm happy to bought this..specially blue colour very nice...thank u Samsung,TiRu,12 November 2018,Verified Purchase
Samsung S9 plus bill soft copy,I purchase a product Samsung galaxy S9 plus it's nice product but I didn't receive a Bill copy of this product so I request to send a soft copy of this Bill in my register e-mail id,Nehul m.,31 October 2018,Verified Purchase
Samsung really need to work upon Battery performance and fast charging technology...,"Pros:
Display
Camera
Sound
Premium look
Cons:
Battery performance is not upto the mark
Charging is not that fast
Bulky",Aniket Shinde,29 October 2018,Verified Purchase
Worth buying in offer with extra 10k discount,Samsung has its edge over other brands in terms of display. Also good head phone was bundled which many brands do not provide.,Gampa Harish,9 November 2018,Verified Purchase
Excellent.,Phone is good.but my ear phones are not working. How to solve my problem. I observed it today.but replace window is closed yesterday. Please solve my problem.,Yaswanth reddy,8 November 2018,Verified Purchase
S9 plus battery is bad,Good display.. Good cam in day light.. low light is bad.. battery is horrible..max 7hrs it last..,nelson,6 November 2018,Verified Purchase
Good buy,"Amazing build,display,camera.Red colour is great.
Coming from a one plus phone,the only thing I miss is dash charging.",Vignesh,12 November 2018,Verified Purchase
Touch not working. Want to return,Phone is good but the display touch of the piece sent by you is not working properly. Pl arrange to take return and resend the proper set.,SK MISHRA,12 November 2018,Verified Purchase
Perfect but.......,Everything is flagship about this device.. except for battery life.. battery life could've been better.. otherwise it's nearly perfect...,Umang Lama,2 November 2018,Verified Purchase
Very good phone only problem is battery.,"Display 5/5
Sound 5/5
Camera 5/5 (both)
Battery 2/5
Android 9 missing
4.5 stars",Warz,10 November 2018,Verified Purchase
"Good phone, bad delivery","Bad delivery by Amazon but a great phone, software still needs improvement, lot to be learnt from OnePlus",Anant Kharad,7 November 2018,Verified Purchase
Solid phone with poor battery life,"Phone looks amazong, camera is great, butter smooth with 6gb RAM but battery back up is big drawback.",Amazon Customer,3 November 2018,Verified Purchase
Awesome,The best mobile at this time.,Kapil sharma,26 November 2018,Verified Purchase
Totally nice mbl,Super display speed is k,Ravikumar,8 November 2018,Verified Purchase
Classy and brandy,It's really classy phone. SAMSUNG has redefined that they are leading brand in mobile industry.,Amazon Customer,30 October 2018,Verified Purchase
Awesome phone ever I ever used,"Best mobile phone by samsung I had ever used. Smooth performance and lag free.
Highly recommend it to buy.",manauwar alam,20 November 2018,Verified Purchase
Best phone by Samsung,Very good product beautiful display nice cemra value for money,Vikas chaudhary,13 November 2018,Verified Purchase
A great flagship,"Great display,camera and speakers..only downside is battery",Akash Warkhade,9 November 2018,Verified Purchase
Just wowwwww !!!!!,Salute to AMAZON ... great piece and the best..afterall its SAMSUNG ...thx,Dr ankit,25 November 2018,Verified Purchase
Great phone.,Delivered in good boxed condition. Phone is functioning smooth and overall experience is awesome!,Amazon Customer,13 November 2018,Verified Purchase
Absolutely worth buying! Especially Camera :),Amazing mobile by Samsung. No disappointment. I do recommend this phone if you have a budget.,AKM,17 November 2018,Verified Purchase
Woww phone,Amazing phone. Love samsung for being innovative one always and providing vital accessories :),Suyash Tiwari,30 October 2018,Verified Purchase
S9 plus is simply awesome,S9 plus is awesome . Sound quality and camera is superb. Display is also very good.,Abhisekh Goyal,9 November 2018,Verified Purchase
Plus phone,"Nice mobile , it's call brand .. 😎",Manish Chandel,30 October 2018,Verified Purchase
Problem with s9+,There was speaker issue no support through customer support.,Amazon Customer,29 October 2018,Verified Purchase
Review,Excellent product,Vikas Verma,31 October 2018,Verified Purchase
Right on time delivery and the product is fine as expected,5/5,Rahul,10 November 2018,Verified Purchase
Revanth,Amazing phone..,Sainathan,26 November 2018,Verified Purchase
Great,One of the best product from Samsung.,Prabhakaran,8 November 2018,Verified Purchase
Gud,Gus,Yadagiri,22 November 2018,Verified Purchase
Samsung is king of smartphones,Best phone in 60k,RK Meena,23 November 2018,Verified Purchase
Great product,Amazing picture clarity.,KUTHALINGAM SUBBIAH,11 November 2018,Verified Purchase
Happy,Worth the money,Akul,29 October 2018,Verified Purchase
Top notch Phone,Just Awesome piece of engineering.,SAMBHU PRADHAN,19 November 2018,Verified Purchase
Good product,Good product & easy run,Amazon Customer,26 November 2018,Verified Purchase
Excellent product,Can have more ringtones,Amazon Customer,16 November 2018,Verified Purchase
Please check,Battery issue,Pradheep,29 November 2018,Verified Purchase
Amazing phone,Amazing phone,Paresh,6 November 2018,Verified Purchase
Colour good,Battery poor,Amazon Customer,24 November 2018,Verified Purchase
Best phn,Best,Rishi,8 November 2018,Verified Purchase
Worth the Money,"The looks and feels of this phone is premium , especially the edge display stands apart from the crowded notch display phones , go for it you won't be disspointed ✌️
Edit: after 3 weeks found the phone to be Much more resourceful , battery backup being a big drawback apart from that Samsung sticked to its reputation and nothing game changing as the s10 release date is around",Siddhartha,26 October 2018,Verified Purchase
THE BOLD & THE BEAUTIFUL SAMSUNG S9+ (Burgundy Red),"First of all thanks to Team Amazon for quick delivery and also for selling this at an unbelievable price after exchanging a 10yr mobile at 11k along with other additional offers n all... :) Deal price is a secret
About the phone, its just a mind blowing gadget and the burgundy purple is most attractive one and if any one planning to buy these without thinking much just go for it.. you will never repent.",Siladitya,31 October 2018,Verified Purchase
Overheating,The device that I received is overheating! Right from the first boot! And it also heats up while watching video or charging!,Rathin Dholakia,27 October 2018,Verified Purchase
Beast ❤,"To be honest ,the battery life is pretty good and the camera quality and the depth effect ,its dynamics are very good .12 mp dual camera gives some amazing clarity. Variable aperture helps a lot for the low light photography . It's the beast for daily users . You can use this to vlog too . 6 GB ram serves you best. Sound is pretty loud. The body looks are awesome. It's so sleek and very comfortable to hold. It is satisfying to hold the phone . I have been using this phone for almost 6 months and trust me it's a beast. I use this phone for photography , you can go check it out on Instagram @Pictography_addict and please do follow. I hope you find this review helpful .😊",shanthala,4 November 2018,
Was in time & Excellent product..,"Product was completely new & seal packed, got on time. Product was in good condition, excellent product.",Saurav Bhattacharjee,30 October 2018,Verified Purchase
Good,Best phone ever used,Amazon Customer,28 October 2018,Verified Purchase
Super product.....😍,Super product.....😍,MUTHU,27 October 2018,Verified Purchase
Good,Good,Nitin,26 October 2018,Verified Purchase
Value for Money,Awesome....,yogendra sahu,28 October 2018,Verified Purchase
Nice phone,Like it..!!!,Girish,31 October 2018,Verified Purchase
Missing account holder name,On invoice my account details name is missing. OK let me know how invoice can be with my name of account. Or else I have to return the product. It's SOS. Also behavior of delivery boy was rude and non cooperative. OK see,naresh kanoji,27 October 2018,Verified Purchase
Too Costly on amazon. But the phone is beast awesome..,Samsung galaxy s9 is beast.... awsome experiance with this phone. Phone is really very very good... But the Price on Amazon is too costly.. I bought the same for Rs.43000 from near store.,Aniket Patil,5 November 2018,
Awesome product... Loved it..,Awesome product.. i like the smoothness of all the application and interface... Thank you amazon. Good work done by Samsung,Ankur,6 November 2018,
Beast of a fone !,"It is a very good fone ,used it for 4 months , there are battery issues but overall its good just be careful of the screen !",dherendra,24 October 2018,
Great phone with bad battery life,Look design display camera sound hardware are all perfect but the battery life sucks big time we have to charge it 2 times in a day rest all is good,Amazon Customer,30 October 2018,
Awesome everything his perfect,Great smartphone top notch features great cameras in any condition. Best battery backup . Great display quality . best audio quality,ajith kumar,11 November 2018,
Syedameerjanabid,I like Samsung s9 plus I am use s9 but I want s9 plus with Ecxeneg ofter pls I recwest,S.A.Abid,3 November 2018,
Beast mode in Android devices,Best phone i am using it from past 6 months it is blazzing fast having no issues just go it without searching other devices,Akhil varma,21 November 2018,
Mind blowing gadget,Everything is awsm abt this phone. No issue with battery life as mentioned in other reviews . I bought it in 44 k with exchange during great Indian sale . So worth every penny.,Mukesh kumar,30 October 2018,
Adapter missing,Adapter missing.,Diwakar Gupta,28 October 2018,Verified Purchase
worst product,not a great product it keeps on hanging ...go for other brand ..they give much more than this then the same price tag,sachin jadhav,19 November 2018,
very good,"very good. loved it . Samsung phones are the best one ,very good battery backup and looks elegant ... ..",sinya,6 November 2018,
Everything is good,ooo super brand everything is fine and it have alot of functions aa well top model it is amazing... 😍,lakhwinder singh,16 November 2018,
i am using from 3 months,superb,Pavan kumar,22 October 2018,
Superstar S9+,Amazing phone...was little skeptical about the size but is comfortable to hold. Super fast & good value purchase from Amazon.,Vishal Murarka,28 October 2018,
Great Product,I was used OnePlus two and updated to Samsung s9 plus. Its a great phone. Satisfied with the features. Build Quality is perfect and can't say anything about screen.. its awesome. Only have issues with battery. I am an above average user. So battery will drain at the end of the day. But its fine with the other features. You won't get any smart flagship phone with battery lasts more than a day..,Amazon Customer,30 November 2018,Verified Purchase
Perfect flagship anyday better then iphone X.,"The phone is perfectly awesome . I own iphone x too but that gave me a lot issues in 2 months of purchase. As for now S9+ is serving me very well but the battery capacity is just sufficient , i end with 20-25% battery with full day usage.",Amazon Customer,29 November 2018,Verified Purchase
good phone worth the money I spent,got it for 50k from Amazon sale it's good ik have no complain looks and feel expensive maybe it is expensive 😁😁 I bought this phone for photography..,Prateek,11 November 2018,Verified Purchase
good product,"Samsung offered huge discount but immediately in 10 days, report of S10 came. felt conned.",Manoj Kothari,7 November 2018,Verified Purchase
THE BEST ANDROID EXPERIENCE,"Much better than any other Android phone.
Either the pixel or any galaxy s series or note series!!!",Debanik Moulick,28 November 2018,Verified Purchase
Reached in time,classic mobile,Vineet Goel,31 October 2018,Verified Purchase
Best Display in Mobiles till date,"I would watch movies in Phone regularly, This is the primary reason I took this mobile as it has an amazing display. Gaming is also good, IRIS unlock is working perfectly in Low light conditions. Cam is too Good. Slow motion videos I am loving it, very impressive. Over all good and happy purchase. Sound clarity is superb in MIVI headphones which comes with Mobile.",KARTHIK,24 October 2018,TOP 1000 REVIEWER
Useless to invest on S9+ compared to A7 (2018),"I had bought it from authorised store & using it since last 5months..
Samsung Galaxy A7 is way better than S9+in every respect (front & back camera, dedicated memory card slot etc) at half of price..",navneet kumar,13 November 2018,
Flagship beast with overwhelming offer.,"Got hands on this premium device yesterday,
an upgrade from OnePlus 5T, not a major one,
One can go for OnePlus 6, if budget is an issue,
What i liked is it's Dolby Atmos, waterproof, flagship, burgandy red, & an offer that was irresistable,
Got exchanged LG G3, which was worth for nothing, exchanged for 11k,
Battery is an issue, no fast charging as supported by Dash charger, and lil bit bulky, no tempered / screen guard best available, flip cover makes it heavy,
Overall satisfied,
will update after rigororus use..",Shraddha,26 October 2018,Verified Purchase
Brilliant is the word!,"Fabulous product, great performance, brilliant photos, awesome speed, premium touch and feel, smooth multitasking, real gaming companion, a true flagship!",Amazon Customer,24 October 2018,
Not worth the price 50k,"My last device was oneplus 6 which was better at every thing than s9 except camera.
I thing i am moving back to oneplus 6 again.",Vijay vaghasiya,25 October 2018,
Reak flagship,Awesome phone. A real flagship. The only down side is the weak battery life.,Abhishek Sengupta,15 November 2018,Verified Purchase
Great device but overall poor support from Samsung and Amazon,"I recently purchased the S9 Plus(Coral Blue) and it wasn't even in my wishlist before few days,I was willing to buy the One Plus 6T but felt disappointed with the overall device,so decided to go for S9 Plus and got it for 41K after all offers and exchanges
Display : One of the best hands down,I have compared it with One Plus 6T and Iphone XS Max and it is better than both,plus those curves make the device look just so beautiful no complaints here.
Built : Same as the S8 Plus,but still overall it looks like a really expensive device and yes it it,so justifies the price,has glass at the back so happy with the built, Coral Blue looks beautiful.
Battery : This is the only area I am disappointed,just 3500 mah battery capacity and it drains pretty quickly on games like PUBG,Asphalt 9, and earlier I was using Dash Charge so I am addicted to those high speeds,but S9 Plus just supports QC 2.0 so charging feels really slow and it takes about just over 1 hr 40 mins to completely charge the phone from 0 to 100%,Samsung should have atleast included QC 3.0.
Cameras : Lots and Lots of modes are provided to enhance the camera performance like portrait ,pro mode, selfie focus, food and many more,plus they have added AR Emoji that is replica of Animoji from Apple,but it is really bad,all people look like same character,they should improve it,the cameras have another feature,on taking any potrait shot on rear camera you can adjust the background blur even after taking the picture and you can also change the same picture to wide angle shot.
Low light performance is great and the variable aperture acts as a useful feature,not just a gimmick,Super Slow Mo is cool to have but limited to just few seconds, video recording is Ok but colors little over saturated(I personally like it this way)
Performance : Indian variant comes with Xynos 9810 SOC and Mali Processor,as such Mali is not considered good for gaming but ,For gaming I have played PUBG and Asphalt 9 and both work super smooth,I play PUBG on HDR(Ultra) and yes it works fine, but the phone tends to heat after few minutes of game play, I guess it is normal for any phone to heat with those high graphic settings, and in case of applications it is quick to open almost all applications and haven't faced any lags till now.
UI/Software : Yes it is not as stock or Oxygen but still after using Oxygen OS before, I am even happy using Samsung Experience 9.0, it has few flaunting features like the Edge Lighting,Dolby Atmos Audio,great gestures,and much more
Audio : Having stereo speakers,it is on of the best sound I have heard on any Smartphone,and the sound output through the headphone jack is amazing and on enabling Dolby Atmos you'll really find a good difference in sound(I use it with Poweramp and Amazon Music).
Security : You can unlock your phone in 4 ways :
Iris : Slow but accurate
Face : Really Fast
Fingerprint at the back : Again it's super fast
Face+Iris : Slow but really secure
Android Updates : When I got the phone it was on October Security Patch Update so means Samsung is providing updates,but still no sign of Android Pie,maybe it'll come near by the launch of Galaxy S10.
Overall : I got this phone at 41K and I am really happy with overall device,leaving aside the battery everything is premium and that display alone is a reason to show off with the edge lighting on for Notifications,Camera's are excellent,Audio is amazing and Samsung UI has tons of small features that any one would love to have.
Note : I gave the device 5 stars earlier but After using it for 20 days I have got scratches on the display,I don't know how,gorilla glass 5 on device really looks fragile,using it with proper flip cover and all,now Samsung and Amazon are not helping and putting the blame on one another,so I am disappointed with my purchase :(",Kumar Vishwas,6 November 2018,Verified Purchase
Amazing phone from Samsung!,"You can read reviews in internet as a normal user, this phone is really good in terms of display, performance, quality, battery life etc.,",SenthilSSS,13 November 2018,Verified Purchase
