reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Good phone,Excellent phone thankyou amazon,balaram,19 November 2018,5.0 out of 5 stars
Samsung at its best,Excellent display resolution and awesome cam quality,N.V.Prabhakar,11 August 2018,5.0 out of 5 stars
No problem this mobile,Nice mobile. Thanks amazon,Amazon Customer,20 October 2018,4.0 out of 5 stars
Awesome,Paisa vasul instrument,Amazon Customer,10 November 2018,5.0 out of 5 stars
Satisfied with phone,Awesome Phone all best features great work samsung,Abhishek Bediskar,20 August 2018,5.0 out of 5 stars
Good phone,"Good phone fell as S8+
Friends go ahead with this phone",vikash,6 June 2018,4.0 out of 5 stars
Samsung galaxy A8+,Best phone on this price range,Vaibhav tripathi,30 October 2018,5.0 out of 5 stars
Owsome,I like samsung brand so there is no any dislike matter,vikral rajput,17 November 2018,1.0 out of 5 stars
Nixit Nicotine Lozenge -10 Per Pack X 7,,,,₹ 70.00 (10%)
Great performance,Overall A8+ is good but Little bit heavy and bulky,vishal Gavale,14 August 2018,4.0 out of 5 stars
Five Stars,Awsome,Sandesh S G,29 January 2018,5.0 out of 5 stars
Five Stars,Definitely worth the cost...a classy product from Samsung,SAchin,22 February 2018,5.0 out of 5 stars
Awesome product,The free cover could be of rubber rather than plastic,Amazon Customer,19 November 2018,5.0 out of 5 stars
Superb !!!,"Superb. Phone
But Samsung should improve battery",GANESH SAWALE,25 November 2018,5.0 out of 5 stars
"camera quality good, battery backup good","Superb phone, camera quality good, battery backup good, no heating problem",RAVI,15 February 2018,5.0 out of 5 stars
Shandar phone h,Shandar phone h har cheez bohot achi h bina soche kharidlo,adnan khan,11 February 2018,5.0 out of 5 stars
Four Stars,Till now it is good but I feel it is reating trouble while talking,ajay kumar gupta,8 February 2018,4.0 out of 5 stars
Only battery,Battery is not work properly.,arun kumar sharma,12 September 2018,5.0 out of 5 stars
NOT WORTH IT,overall experience is average. not worth it.,Pranav,24 October 2018,2.0 out of 5 stars
Worth Buy,Its A Awesome Product..Total Value For Money,Purushotam Jangra,14 November 2018,5.0 out of 5 stars
Five Stars,Really Awesome. Sooooooo beautiful.,Balraj Bandral,25 July 2018,5.0 out of 5 stars
Very good phone Display is very good I like,"Very good phone
Display is very good
I like it",jahangir joiya,17 February 2018,5.0 out of 5 stars
Excellent phone,Amazing performance with 6gb RAM...very excited to have this phone.,Ratna C.,29 March 2018,5.0 out of 5 stars
Five Stars,very nice mobile. good feature. good looking phone. camera is very good,Abhishek Pathania,24 February 2018,5.0 out of 5 stars
Good one,It is too good and camera result is also too good,Darshil C.,4 August 2018,5.0 out of 5 stars
NIce Mobile,"Your Product is very nice ,",D Senthivelan,13 November 2018,5.0 out of 5 stars
6gb ram available and easily heandle mobile,best mobile,Amazon Customer,25 November 2018,4.0 out of 5 stars
Five Stars,good phone i like it,Amazon Customer,3 July 2018,5.0 out of 5 stars
Worth it,Too gud,prachi,20 August 2018,3.0 out of 5 stars
Wow product I must say..,"Thanks..great price, great product",Chandrakant Shriwas,16 November 2018,5.0 out of 5 stars
very good and smooth performance,very good and smooth performance overall excellent,vetha,28 November 2018,4.0 out of 5 stars
Rock,Every thing is best for me,RAJ KUMAR,11 November 2018,5.0 out of 5 stars
..,Phone is bit heavy,anand,7 October 2018,3.0 out of 5 stars
excellent product,samsung is samsung,Ravi Shivhare,20 November 2018,5.0 out of 5 stars
Great phone!,"Great phone! The screen is beautiful, and very fast.",Fernando Kaba Surjus,2 July 2018,5.0 out of 5 stars
Five Stars,Super product nice screen and performance loved it...,Amazon Customer,24 February 2018,5.0 out of 5 stars
Spectacular phone and sup,Amazing phone,Priti rao,27 August 2018,5.0 out of 5 stars
Goodbuy.,Good buy!!,A Buyer,1 November 2018,5.0 out of 5 stars
Awesome and Value for Money !!,"Bought this @ first sale , Phone is very nice and real smart !",Amazon Customer,15 February 2018,5.0 out of 5 stars
Nice Phone,Camera not as good as expected.. otherwise it's a good phone..,Kapil,15 February 2018,4.0 out of 5 stars
Trouble shooting,Its camra in night give very bad pictures,Meena sr,30 October 2018,2.0 out of 5 stars
A8+ review,Size is over the comfort limit and heavy.,Sunil Salaria,28 October 2018,1.0 out of 5 stars
Nice phon under 35k..,Not up to the mark ...go for s8plus.,HEM,3 March 2018,4.0 out of 5 stars
Nice mobile...,Nice mobile and quality look vary gud ... no issu,Harish singh,24 November 2018,5.0 out of 5 stars
Keep this treasure.,Need vertical flip case. So that i can keep this treasure for a long.,Shanmugaraman V.,22 February 2018,5.0 out of 5 stars
loved it,good battery life,Sunil chandnani,2 November 2018,5.0 out of 5 stars
It's not as I expect it,Some apps keep stopping/closing..what would be the reason,Binty Lalmalsawmi,19 May 2018,3.0 out of 5 stars
Excellent phone,Over all good experience,Amazon Customer,25 July 2018,5.0 out of 5 stars
Five Stars,"Lookwise - Slim n sleek
Performance is amazing",Amazon Customer,3 May 2018,5.0 out of 5 stars
Value for money,Very Good,Rajesh Laxman Titame,18 November 2018,5.0 out of 5 stars
Very good phone,Picture quality and Battery life,Chandra Prakash,15 November 2018,5.0 out of 5 stars
vry good ram specially camera is too good,Ths phn is amazng.... vry good ram specially camera is too good.,lovepreet singh,24 March 2018,5.0 out of 5 stars
Samsung galaxy A8+,Over priced as compared to features and hardware,Sanjay Kumar,18 November 2018,4.0 out of 5 stars
Structure,Screen seems to be smaller in width,Kanniappan Kugan,25 August 2018,5.0 out of 5 stars
Not bad,Butter to buy one plus 6 for this price,Amazon Customer,26 July 2018,3.0 out of 5 stars
Camera quality totally diffrent.,Trusted product.,Guru kadlaskar,16 November 2018,5.0 out of 5 stars
Good to buy,After updatess everythings in thid phone.,anil singh,6 September 2018,4.0 out of 5 stars
nice mobile,perfect phone. I like it.,zaheer abbas patel,10 July 2018,5.0 out of 5 stars
K,not good,Jitu,19 November 2018,5.0 out of 5 stars
Best,Best product of Samsung,RAJWANT PANDEY,23 October 2018,5.0 out of 5 stars
Fast delivery,sound quality pictures quality both r awesome,jack,2 August 2018,4.0 out of 5 stars
Go for better phone option than this,Phone is lagging aloot. Go for better phone option than this.,Shreyansh Sheth,9 May 2018,2.0 out of 5 stars
As a good product but finger print sensor not properly,As a good product but finger print sensor not properly work,ajay more,9 April 2018,4.0 out of 5 stars
Galaxy A8+,Good and pretty looks. Feauters are latest. Happily using.,Suryanarayana Malapaka,23 February 2018,5.0 out of 5 stars
Good,Good speed and good resolution,Sohil ghoniya,30 October 2018,5.0 out of 5 stars
Very very bad quality sound not working this is a second hand phone,Sound very worst very very bad quality,ch.sravani,22 November 2018,1.0 out of 5 stars
Rate is so more as features working.,Finger sencer is not working with wet fingers.,KUMAR S ANAND,25 November 2018,4.0 out of 5 stars
Very good product and awesome delevry service,Amazing product,Mustakim Khan,25 September 2018,5.0 out of 5 stars
Four Stars,"Excellent camera quality, faster response, good internal storage.",Ganesh Kumar Moningi,1 March 2018,4.0 out of 5 stars
Five Stars,this mobile is very very good,Rk,26 July 2018,5.0 out of 5 stars
Five Stars,Worth for your money,PRAKASH S H,8 April 2018,5.0 out of 5 stars
Very nice phone,Very nice phone thanks amazon,Gyana prakash sahoo,24 November 2018,5.0 out of 5 stars
Excellent phone,Very good phone charging is very fast,Manish,14 November 2018,4.0 out of 5 stars
Display problem,"Display problem
Please replace my mobile",Amazon Customer,16 November 2018,1.0 out of 5 stars
Looker,Super looking phone... feels nice in hand.. a true head turner...,Modiji,20 February 2018,5.0 out of 5 stars
Too good,"Very good, no cons at this price",Sheetal B.,21 August 2018,5.0 out of 5 stars
Four Stars,good product,MAJESH,25 July 2018,4.0 out of 5 stars
Four Stars,"I like it, good performer of 2018",SATYANARAYANA,14 February 2018,4.0 out of 5 stars
Amazon provide the best product,Mobile is in well condition and i loved its experiance,Chandan,3 May 2018,5.0 out of 5 stars
good,good,SURYA PRAKASH PANDEY,19 November 2018,5.0 out of 5 stars
Yes,Good,yeah,17 November 2018,5.0 out of 5 stars
Nice,Nice,Amazon Customer,23 October 2018,4.0 out of 5 stars
Nice,Nice,Ashish Gupta,12 November 2018,4.0 out of 5 stars
Godd,Good,akshay dhudas,15 November 2018,5.0 out of 5 stars
Samsung A8+,Awesome product. Best delivery boy.,Vishal Sharma,27 October 2018,5.0 out of 5 stars
Great phone,Great phone,Rahul,13 November 2018,5.0 out of 5 stars
amazing product and specifications to this price,"Superb, amazing product and specifications to this price",Amazon Customer,12 April 2018,5.0 out of 5 stars
good gaming experience,"No lag,good gaming experience, excellent Samsung apps",AKSHAYNC,3 May 2018,4.0 out of 5 stars
osm mobile phone.... on tym delivery ...,osm mobile phone.... on tym delivery.... n on damaged,Mustaqim meman,30 April 2018,5.0 out of 5 stars
In night camera work nice,"In this budget
Mobile nice",Amazon Customer,11 August 2018,4.0 out of 5 stars
Super mobile from samsung,Battery backup was not too good...,sai teja,21 November 2018,5.0 out of 5 stars
Perfect.,Its the best product thank you...❤,Paresh gadhavi,13 November 2018,5.0 out of 5 stars
Perfect 👌,Great quality as compared to money,Naishadh,14 November 2018,5.0 out of 5 stars
Not good Experience don't buy,camera is not good,Amazon Customer,25 October 2018,2.0 out of 5 stars
This is my fourth phone of Samsung. This time I am not satisfied.,Battery problem in handset,Chetan desale,9 November 2018,1.0 out of 5 stars
Five Stars,Awesome must buy kind of better than one plus,Amazon Customer,27 April 2018,5.0 out of 5 stars
Good,This product very good,deepak,16 August 2018,5.0 out of 5 stars
Awesome Cellphone,100% Satisfied with Samsung Galaxy A8+.,Sumit Zambare,9 April 2018,5.0 out of 5 stars
Good not best,Like phone but phone lightly hang,Amazon Customer,24 November 2018,3.0 out of 5 stars
Samsung,Poor battery life,Amazon Customer,23 October 2018,4.0 out of 5 stars
Good feature,Great phone,Neeraj Mall,8 July 2018,5.0 out of 5 stars
Excellent,Excellent,Saloni priyadarshini,26 October 2018,5.0 out of 5 stars
Nice offer,Good deal,Milin Shah,19 October 2018,5.0 out of 5 stars
Buy it,Awesome phone,sagar ghatol,18 August 2018,5.0 out of 5 stars
Five Stars,Good quality product,Abdul,3 March 2018,5.0 out of 5 stars
Selfie is perfect not editing its like original,Nice phone no lagging and no issue please provide oreo update,RAKESH KUMAR,16 February 2018,5.0 out of 5 stars
Cammera,Nice Mobile with good features..,Pratap Gupta,13 November 2018,4.0 out of 5 stars
It's nice,It's very nice features and quality cam.,Naidu,21 November 2018,5.0 out of 5 stars
Very good phone Display is good All are good,"Very good phone
Display is good
All are good ....",Brijeshchandra Patel,27 February 2018,5.0 out of 5 stars
Five Stars,"Amazing display, great features n good battery life",Kaustubh N.,22 February 2018,5.0 out of 5 stars
Best features and quality of camra and display of samsung in price comparision,I like the finishing of product,Kamran Jamadar,8 October 2018,4.0 out of 5 stars
NIce Phone,I will definitely recommend it.,Prat,26 September 2018,5.0 out of 5 stars
Dual camera,This phone is excellent,ashish Michael,19 September 2018,5.0 out of 5 stars
Value for money,Value for money,Shivadass,13 November 2018,5.0 out of 5 stars
Very good phone for heavy use,Picture quality,DD,18 November 2018,4.0 out of 5 stars
good,earphones scoket is down,Amazon Customer,8 September 2018,5.0 out of 5 stars
Five Stars,Good mobile with all the features of a flagship phone.,Rajeev Kumar Singh,29 March 2018,5.0 out of 5 stars
Nice,Nothing,Anita,27 November 2018,5.0 out of 5 stars
Awe,Awesome,prasanth achary,25 September 2018,5.0 out of 5 stars
Love it,Love it,Karpagam,23 October 2018,5.0 out of 5 stars
Price is little bit more,Awesome,SEETAPATI RAUTA,29 September 2018,5.0 out of 5 stars
Superb product,Awesome mobile fully satisfied,prem surani,22 September 2018,5.0 out of 5 stars
one plus 5t better,Lacking back dual camera..one plus 5t better option,Abc,12 April 2018,4.0 out of 5 stars
Four Stars,not bad,Devender Beniwal,14 July 2018,4.0 out of 5 stars
Good product.,Product received as described. Good product.,Amazon Customer,31 March 2018,4.0 out of 5 stars
Good phone,Good picture quality.,Amazon Customer,18 November 2018,4.0 out of 5 stars
Worth the price,Very good performance,Vikas Ranadive,27 November 2018,5.0 out of 5 stars
Just go for it,It's totally awesome.,ankit,15 November 2018,5.0 out of 5 stars
Good,Over all good,Amazon Customer,25 November 2018,4.0 out of 5 stars
Good 5 star,Amazing phone,jitendra,23 October 2018,5.0 out of 5 stars
Five Stars,Awesome phone nice feel.,ismail makwana,1 March 2018,5.0 out of 5 stars
Four Stars,Excellent product bt delivery is too late...,Kunal,25 May 2018,4.0 out of 5 stars
Four Stars,awesome look and system perfomance.,Amazon Customer,30 March 2018,4.0 out of 5 stars
Excellent phone,Picture quality is very good,Saloni Desai,29 October 2018,5.0 out of 5 stars
3,For battery life and camera,jay,24 October 2018,3.0 out of 5 stars
Monetary wise not justified,Very heavy in weight,manish kumar mishra,12 November 2018,2.0 out of 5 stars
Good,Good working,Amazon Customer,18 November 2018,4.0 out of 5 stars
Good valid of.money,Good,Amazon Customer,25 October 2018,4.0 out of 5 stars
Nil,Nil,SREEJITH S L,26 July 2018,5.0 out of 5 stars
Five Stars,"Excellent model, perfect configuration.",Chetan Jogani,22 February 2018,5.0 out of 5 stars
Trusted,Nice,shubham chhajer,11 November 2018,5.0 out of 5 stars
charging problem,i have got charging problem,sanjay,12 November 2018,2.0 out of 5 stars
Best product,Product is the best,Amazon Customer,9 November 2018,5.0 out of 5 stars
Five Stars,"Very nice one and great futures
I like it",Seenuvasan,26 February 2018,5.0 out of 5 stars
Five Stars,perfect product in its price range,hind keshri,25 July 2018,5.0 out of 5 stars
Five Stars,Quality was good I’m satisfied,Abhinv,24 February 2018,5.0 out of 5 stars
Four Stars,"Good looking and Awesome,
working fine.",Radhika,1 March 2018,4.0 out of 5 stars
Superb,As expected 😀👌🏿,Umeshkumar Pruthvipal Chaudhari,13 November 2018,5.0 out of 5 stars
AMEZING,AMEZING Performance,BABU REDDY K,9 September 2018,5.0 out of 5 stars
So nice,Nice phone,Amazon Customer,13 November 2018,5.0 out of 5 stars
Nice phone,Nice phone,Amazon Customer,19 October 2018,4.0 out of 5 stars
Five Stars,Good,DINESH K CHOUDHARY,5 July 2018,5.0 out of 5 stars
Five Stars,One of the best class phone from Samsung in mid range.,Amazon Customer,15 February 2018,5.0 out of 5 stars
Very good phone Fast delivery by,"Very good phone
Fast delivery by amazon",Bhuli,1 March 2018,5.0 out of 5 stars
About its speed performance (ram 6gb),A good product from and for all needs,NEELAM KAMAL RAJU,24 June 2018,5.0 out of 5 stars
Amezen shop best deal in india,Very good product,rijban,28 November 2018,5.0 out of 5 stars
Excellent product,Good product with worth the price,Mohammed ashwaq ali,21 November 2018,5.0 out of 5 stars
Excellent,Excellent,srinivas anaparthi,5 October 2018,5.0 out of 5 stars
Amazing...,Amazing phone in best price all features of s8 .,gohil,28 March 2018,5.0 out of 5 stars
Five Stars,Nice phone. Timely delivery.,KPillai300,25 February 2018,5.0 out of 5 stars
Four Stars,Best mob. ..Cmera music sound scrn all are best,vishal,30 March 2018,4.0 out of 5 stars
Battry drain fast,Betrry life is very poor,Mehboob Shaikh,26 October 2018,3.0 out of 5 stars
10/9.9,Very good mobile,P venu babu,12 November 2018,5.0 out of 5 stars
Best phone ever,Samsung is my favourite mobile,jaypalsinh,2 August 2018,5.0 out of 5 stars
so far so good.,It's been a week... so far so good.,rd99,25 April 2018,5.0 out of 5 stars
Super model One is missing bixby,"Super model
One is missing bixby voice",M B,15 February 2018,4.0 out of 5 stars
Superb,Superb phone loud sound,NVS prabhas,17 November 2018,5.0 out of 5 stars
Great phone good ram,Nice and a budget phone,Akarshan,6 October 2018,5.0 out of 5 stars
Perfect phone for perfect Price,Perfect phone for perfect Price,Chanti,20 November 2018,5.0 out of 5 stars
Not bad not good..,Lowe battery life not at d mark,Vani,20 November 2018,4.0 out of 5 stars
Five Stars,Good Phone,VISWANATH,29 June 2018,5.0 out of 5 stars
V good,V money,Amit gupta,28 November 2018,5.0 out of 5 stars
Valuable item,I like the phone,sreekanth j p,8 September 2018,5.0 out of 5 stars
Selfie phone,Good,chandresh Desai,12 August 2018,5.0 out of 5 stars
Value for money,Quality experience,Robin,24 August 2018,5.0 out of 5 stars
I need invoice r Bill,I didn't get any invoices,Rajesh,31 August 2018,3.0 out of 5 stars
Good product,Satisfied with product.,Jitu,21 August 2018,4.0 out of 5 stars
Awesome,Rear camera is awesome.,Aman mandad,11 September 2018,4.0 out of 5 stars
Five Stars,Product is good but delivery boy is bad !,Jatin gohil,28 April 2018,5.0 out of 5 stars
Good camera quality and great specs,Awesome mobile,Amazon Customer,30 October 2018,4.0 out of 5 stars
Good offer!,Love the phone,Amazon Customer,11 November 2018,5.0 out of 5 stars
Not worth,Battery sucks.,lokesh,12 November 2018,2.0 out of 5 stars
Fine,I like quality,Amazon Customer,18 November 2018,5.0 out of 5 stars
superb,superb,HEMANT BANDODKAR,6 October 2018,5.0 out of 5 stars
Five Stars,awesome phone with reasonable price,satvir,11 April 2018,5.0 out of 5 stars
Five Stars,Happy to good effect,Amazon Customer,5 April 2018,5.0 out of 5 stars
Four Stars,Good,Rajeesh TT,11 April 2018,4.0 out of 5 stars
Five Stars,"I like Samsung mobile s
A8plus is nice phone",L.Kishan,23 February 2018,5.0 out of 5 stars
Good phone,It's good product till now,suresh,11 August 2018,5.0 out of 5 stars
Four Stars,Nice phone but back camera is not too good,Jayanta,12 February 2018,4.0 out of 5 stars
Best Mobile Mid-Range,Camera Quality 4 Star,kartik vaishnav,14 November 2018,5.0 out of 5 stars
Oky phone mast,Oky phone mast one ..,Raju,5 October 2018,3.0 out of 5 stars
Required primary dual camera,Improve battery,Amazon Customer,2 July 2018,5.0 out of 5 stars
Best phone for this range,It's a beauty. Best phone for this range.,Varsha,12 February 2018,5.0 out of 5 stars
Samsung is best,Good phone good life,Rafeek Sama,10 November 2018,5.0 out of 5 stars
good one,very fast processing,Krishna Bansal,18 November 2018,5.0 out of 5 stars
Good mobile,Good product,Amit Saha,25 November 2018,5.0 out of 5 stars
Nice,Good,G V GORE,22 November 2018,5.0 out of 5 stars
Good mobile,Good,Anil Virani,28 November 2018,5.0 out of 5 stars
Four Stars,Excellent cell like good features.,Amazon Customer,30 March 2018,4.0 out of 5 stars
Poor,Bill recievd with imei no..,Abid khan,20 November 2018,1.0 out of 5 stars
Good product,Awsm mobile,sandeep,13 November 2018,5.0 out of 5 stars
Best Galaxy ever,Slow motion misding,Rahul,9 November 2018,5.0 out of 5 stars
Bad,Bad,Pydirajuduppada,20 November 2018,2.0 out of 5 stars
Five Stars,nice,Amazon Customer,17 May 2018,5.0 out of 5 stars
Good,Good,Piyush,7 September 2018,5.0 out of 5 stars
Five Stars,An excellent cover,Amazon Customer,25 May 2018,5.0 out of 5 stars
Everything is good but delivered in time,I like the product,Harihar Dash,18 November 2018,4.0 out of 5 stars
Excellent mobile.,Like this product.,Ramesh,27 November 2018,5.0 out of 5 stars
Samsung,Good phone,Amazon Customer,28 November 2018,4.0 out of 5 stars
Great discount,Good phone,Amazon Customer,24 October 2018,5.0 out of 5 stars
Awesome phone,Nice phone,Ankit Kakkar,9 November 2018,5.0 out of 5 stars
Awesme handset very friendly,Awesme handset very friendly,syed shakeel,2 July 2018,4.0 out of 5 stars
Five Stars,Simply Super performance ....nothing to say 👏,somasekhar,18 February 2018,5.0 out of 5 stars
Four Stars,Nice one,Ajay,2 June 2018,4.0 out of 5 stars
Fantabolous,Never seen this type of mobile superoo super..,Vinod kunche,15 February 2018,5.0 out of 5 stars
Nice,Good product,Nikhil Sawant,28 August 2018,5.0 out of 5 stars
Excellent,Excellent product,Babu chavda,28 November 2018,5.0 out of 5 stars
Good,Very nice product,Nilesh das,7 October 2018,4.0 out of 5 stars
Very good,This product is excellent,E akash patro,17 November 2018,5.0 out of 5 stars
Good,I like it,Manas,6 October 2018,5.0 out of 5 stars
Excellent,Excellent,Gopal Jangid,19 November 2018,5.0 out of 5 stars
Excellent,Very good,sadeque sarwari,17 September 2018,4.0 out of 5 stars
Superb,Excellent,Pulawarthy.Prem kumar,21 November 2018,4.0 out of 5 stars
Five Stars,Nice phone Samsung to Amazon thank you,Amazon Customer,5 April 2018,5.0 out of 5 stars
Super,Good phone,Amazon Customer,10 July 2018,5.0 out of 5 stars
Speaker,Speaker problems,faizuddin k.,1 November 2018,2.0 out of 5 stars
My first Samsung phone..Awesome performance,All good,Rajashankar,13 November 2018,5.0 out of 5 stars
Five Stars,Really nyc phn at this price,Deepanshu kumar,15 February 2018,5.0 out of 5 stars
Super,Nice product,Mallesh alwarthi,12 August 2018,5.0 out of 5 stars
Nice phone,Very nice phone,Batul Gandhi,17 November 2018,4.0 out of 5 stars
Beautiful,Awesome,Marzina A Vhora,28 November 2018,5.0 out of 5 stars
Five Stars,Great performance and look,Shivlaheri Enterprises,22 February 2018,5.0 out of 5 stars
Superb,Owsome,alpesh patel,14 November 2018,4.0 out of 5 stars
Five Stars,Premium product....,Raghav Thakur,10 February 2018,5.0 out of 5 stars
Five Stars,"Excellent smartphone, feel rich look",Manoj Sevani,29 March 2018,5.0 out of 5 stars
Five Stars,excellent......,B LINGAMAIAH,4 July 2018,5.0 out of 5 stars
Five Stars,Excellent product,Nawal Kumar,15 June 2018,5.0 out of 5 stars
Everything flowing!,Just amazing!,Keyur kex,14 July 2018,5.0 out of 5 stars
Five Stars,The best Samsung phone I have ever used,shantanu,1 March 2018,5.0 out of 5 stars
battry is very good,its quite good,sachin bhardwaj,4 September 2018,3.0 out of 5 stars
Good,Good product,Aditya,1 November 2018,4.0 out of 5 stars
Good,Good,Dinesh,24 November 2018,4.0 out of 5 stars
Rate effective and good model,Like,Tatavarthi,29 October 2018,5.0 out of 5 stars
Good,Good,Vijay S,14 November 2018,5.0 out of 5 stars
Wonderful,Nice,Kunal Banerjee,17 October 2018,5.0 out of 5 stars
Good,Good,Abseen Ahamed,17 November 2018,5.0 out of 5 stars
Good display,Super mobile,Naresh Kumar,8 November 2018,5.0 out of 5 stars
GOOD,Good,Amazon Customer,15 November 2018,4.0 out of 5 stars
Five Stars,Best phone of samsung this product range,Praveen,15 February 2018,5.0 out of 5 stars
super,i like this,sai,24 October 2018,5.0 out of 5 stars
Worth in offer,Nice mobile,mahendar,18 October 2018,5.0 out of 5 stars
Five Stars,Superb mobile,MOHD AKBAR ANSARI,6 May 2018,5.0 out of 5 stars
Five Stars,All Iran is good,krishnaraj,11 February 2018,5.0 out of 5 stars
Battery is good one,Nice phone,Chetan vaghela,15 September 2018,4.0 out of 5 stars
Samsung A8+,Nice phone,Amazon Customer,19 October 2018,4.0 out of 5 stars
Good phone.,Goos phone,Amol Chaudhari.,23 November 2018,4.0 out of 5 stars
Best android phone,Nice phone,abrar,25 November 2018,4.0 out of 5 stars
Very good,Best sound quality,Yashraj,24 November 2018,5.0 out of 5 stars
Great,Great!,vudatha sai krishna,18 August 2018,5.0 out of 5 stars
Four Stars,Not satisfied with rear camera,Mrityunjay Pratap Singh,19 April 2018,4.0 out of 5 stars
Five Stars,Excellent,Bijay Kumar Meher,29 March 2018,5.0 out of 5 stars
Gud,Very nice product of Samsung.,dharmesh yadav,22 February 2018,5.0 out of 5 stars
Good,Good,A.Balu,30 June 2018,5.0 out of 5 stars
Good,Like,Amazon Customer,27 August 2018,5.0 out of 5 stars
Very good mobile bat baetry Leif no,Very nice,Abu Sade Makrani,18 September 2018,5.0 out of 5 stars
Thanks,Excellent,Amazon Customer,27 October 2018,5.0 out of 5 stars
Very good,Very good,hare krishna kumar,12 November 2018,5.0 out of 5 stars
"But, I want 4k and ois in this smartphone",I like it's shape,Sukhvir s.,14 November 2018,5.0 out of 5 stars
Nice,Good,Sanjay,24 August 2018,5.0 out of 5 stars
Five Stars,good,Mohan Bisht,1 March 2018,5.0 out of 5 stars
Good,All good,prakash,18 November 2018,4.0 out of 5 stars
Recommended,Nice One,VARUN MISHRA,18 November 2018,5.0 out of 5 stars
Not satisfied,Not good,Vaibhav Satam,27 October 2018,3.0 out of 5 stars
Pls take mobile without offer on Amazon,Vvvv bad quality,Amazon Customer,18 November 2018,1.0 out of 5 stars
Mobile defective,DEFECTIVE MOBILE,RATAN DAS,22 November 2018,1.0 out of 5 stars
Four Stars,Good.,Amazon Customer,15 February 2018,4.0 out of 5 stars
Display,Great mobile,praveen,16 August 2018,5.0 out of 5 stars
Five Stars,Superb model from samsung i love it,Nadeem,9 February 2018,5.0 out of 5 stars
Five Stars,Excellent phone performance,sonam singh,23 February 2018,5.0 out of 5 stars
NO. 1 In the segment.,Class product by Samsung. Go for it.,sushil,15 February 2018,5.0 out of 5 stars
Beauty with performance,Awesome phone with beautiful design.,Yashwanth.Veera,15 February 2018,5.0 out of 5 stars
Awesome Nd Perfect,Superb phone to buy at this price 😊,Anish Gupta,15 February 2018,5.0 out of 5 stars
Superb,Best experience,Prateek singh,26 November 2018,5.0 out of 5 stars
awesome,all are awesome,Hiren Patel,15 November 2018,5.0 out of 5 stars
Nice phone,Like it,manoj vaity,12 November 2018,4.0 out of 5 stars
Battery life,Love it,shankar lama,19 September 2018,4.0 out of 5 stars
Samsung Galaxy A8+ at its best,Really Nice phone . Best at it price,Uday Kiran,11 February 2018,5.0 out of 5 stars
Five Stars,Best phone,Vipin Kumar,28 February 2018,5.0 out of 5 stars
Its good product,Its awesome,Darshil Shah,16 August 2018,5.0 out of 5 stars
Five Stars,superb smartphone,sai,3 March 2018,5.0 out of 5 stars
Four Stars,Nice phone in a affordable price...,arjun mohan,15 February 2018,4.0 out of 5 stars
Very good phone,Nice mob. Stylish,Jomy,30 April 2018,5.0 out of 5 stars
Nice,Nice,Sagar,16 August 2018,5.0 out of 5 stars
Very good mobile..,Good mobile ..,Ashwin Kumar S,16 November 2018,5.0 out of 5 stars
Five Stars,Delight phone....,Amit Kundu,26 April 2018,5.0 out of 5 stars
Four Stars,Samsung Best smartphone mid range.,Rajiv Garkal,15 February 2018,4.0 out of 5 stars
Four Stars,Nice ph all rounder but price high,Amazon Customer,15 February 2018,4.0 out of 5 stars
Battery,Battery,savansolanki,29 October 2018,5.0 out of 5 stars
Awesome and reasonably offers I got,Quality super,Nag,20 November 2018,5.0 out of 5 stars
Super,Super,CH PRASANNA KUMAR REDDY,5 November 2018,5.0 out of 5 stars
super best quality,i love it my best mobile,Amazon Customer,26 April 2018,5.0 out of 5 stars
Five Stars,Perfect choice i made,Tamandani,17 May 2018,5.0 out of 5 stars
Four Stars,Ultimate phone at reasonable cost,Vikas Prashar,15 February 2018,4.0 out of 5 stars
Five Stars,Very good product and it's worth,PRADEEP R,21 February 2018,5.0 out of 5 stars
Five Stars,Extraordinary phone it is❤,Gopal Saha,29 March 2018,5.0 out of 5 stars
Perfect samsung phone in midrange,Excellent...,Rp reddy,27 November 2018,5.0 out of 5 stars
camera is good,nice,Amazon Customer,13 November 2018,5.0 out of 5 stars
Good,Good,Shamshuddin,10 November 2018,5.0 out of 5 stars
Ok,Like,Shyam Sundar Sahu,17 November 2018,5.0 out of 5 stars
abcd,abcd,Rajeev Mahajan,21 November 2018,4.0 out of 5 stars
Set mast hai,Like,arvind kumar,14 November 2018,4.0 out of 5 stars
Good quality,Like,Amit gala,18 November 2018,5.0 out of 5 stars
Nice,Good,Ramanujula Ramraj,31 October 2018,5.0 out of 5 stars
Good,Good,amit,24 October 2018,5.0 out of 5 stars
good,like,NIRAV,26 November 2018,4.0 out of 5 stars
👍🏼,👍🏼,vinay,25 November 2018,5.0 out of 5 stars
Four Stars,too havy,Nitin agarwal,22 February 2018,4.0 out of 5 stars
Jabardast phone,Mast,Amazon Customer,10 November 2018,4.0 out of 5 stars
Five Stars,Wow ...,Amazon Customer,28 February 2018,5.0 out of 5 stars
Samsung phone is very awesome,Good phone,Aakash Singh,1 August 2018,5.0 out of 5 stars
Very good phone in this price range.,Nice phone,Ebrahim Bhurka,31 July 2018,4.0 out of 5 stars
